symbol,label,description,unit,input_type,default_value,minimum,maximum,formula,calculation_order,step
mcs_chb,Checked By,,number,na,,,,,,1
mcs_ao,Approved On,,datetime,na,,,,,,1
mcs_ab,Approved By,,number,na,,,,,,1
mcs_nop,Number of Method Samples,,number,in,1,1,3,,,1
mcs_pn1,Pan Number,,string,in,,,,,,
mcs_wm1,Wet Mass,,grams,in,,,,,,
mcs_dm1,Dry Mass,,grams,in,,,,,,
mcs_pm1,Pan Mass,,grams,in,,,,,,
mcs_mcs1,Moisture Content of Soil,,%,calc,,,,((100*(mcs_wm1-mcs_dm1))/(mcs_dm1-mcs_pm1)),1701,
mcs_pn2,Pan Number,,string,in,,,,,,
mcs_wm2,Wet Mass,,grams,in,,,,,,
mcs_dm2,Dry Mass,,grams,in,,,,,,
mcs_pm2,Pan Mass,,grams,in,,,,,,
mcs_mcs2,Moisture Content of Soil,,%,calc,,,,((100*(mcs_wm2-mcs_dm2))/(mcs_dm2-mcs_pm2)),1702,
mcs_pn3,Pan Number,,string,in,,,,,,
mcs_wm3,Wet Mass,,grams,in,,,,,,
mcs_dm3,Dry Mass,,grams,in,,,,,,
mcs_pm3,Pan Mass,,grams,in,,,,,,
mcs_mcs3,Moisture Content of Soil,,%,calc,,,,((100*(mcs_wm3-mcs_dm3))/(mcs_dm3-mcs_pm3)),1703,
mcs_avg,Average Moisture Content of Soil,,%,calc,,,,(mcs_mcs1+mcs_mcs2+mcs_mcs3)/mcs_nop,1704,
